country,color,alcohol,grape,characteristic,organic,price
,I,would not,buy any of,these wines on,this occasion,
France,Red,13&#37,Malbec,<span>Light &#8212 Full</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div></div>,Yes,&pound5.00
USA,Rosé,14&#37,Tempranillo,<span>Dry &#8212 Sweet</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,No,&pound8.00
Australia,Red,13&#37,Pinot Noir,<span>Light &#8212 Full</span><div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,Yes,&pound5.50
France,White,13&#37,Blend,<span>Dry &#8212 Sweet</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,No,&pound4.00
Chile,Red,12.5&#37,Blend,<span>Light &#8212 Full</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,Yes,&pound8.75
France,White,11.5&#37,Chenin Blanc,<span>Dry &#8212 Sweet</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,No,&pound9.50
Australia,White,14&#37,Blend,<span>Dry &#8212 Sweet</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,No,&pound5.00
France,Rosé,10.5&#37,Merlot,<span>Dry &#8212 Sweet</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div><div class = 'table-cell'></div></div>,Yes,&pound5.75
France,Rosé,14&#37,Blend,<span>Dry &#8212 Sweet</span><div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell'></div><div class = 'table-cell' style = 'background-color: black'></div><div class = 'table-cell'></div></div>,Yes,&pound7.25
